desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Kalisabuk,-7.658024,109.099508,Balai Desa Kalisabuk,-7.658169,109.098666,0.24,0.24,1.03,1.0,ok_ors
Desa Adireja Kulon,-7.660938,109.16014,Balai Desa Adireja Kulon,-7.66096,109.159231,0.24,0.238,0.85,1.0,ok_ors
Desa Pahonjean,-7.324304,108.740084,Balai Desa Pahonjean,-7.324605442665611,108.73858679137896,0.26,0.258,0.83,1.0,ok_ors
Desa Ujunggagak,-7.665938,108.818228,Balai Desa Ujunggagak,-7.666216,108.819289,0.28,0.28,1.12,1.0,ok_ors
Desa Patimuan,-7.584914,108.76131,Balai Desa Patimuan,-7.583574535,108.7608936,0.29,0.289,0.73,1.0,ok_ors
Desa Sudagaran,-7.491794,108.808189,Balai Desa Sudagaran,-7.4901238,108.8095576,0.31,0.312,1.25,1.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Adimulya,-7.332960915849882,108.68843248947638,0.35,0.35,1.05,1.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Adimulya,-7.332960915849882,108.68843248947638,0.35,0.287,1.15,2.0,ok_ors
Desa Wanareja,-7.333816,108.687107,Balai Desa Adimulya,-7.332960915849882,108.68843248947638,0.35,0.63,1.43,3.0,ok_ors
Desa Keleng,-7.59519,109.111505,Balai Desa Pesanggrahan,-7.594238,109.114316,0.36,0.356,0.55,1.0,ok_ors
Desa Adipala,-7.659838,109.156697,Balai Desa Adireja Kulon,-7.66096,109.159231,0.37,0.375,0.59,1.0,ok_ors
Kelurahan Tambakreja,-7.728396,109.004494,SMP Negeri 3 Cilacap,-7.728074,109.001426,0.39,0.393,0.68,1.0,ok_ors
Kelurahan Tambakreja,-7.728396,109.004494,SD Al-Irsyad 01,-7.727568,109.006065,0.39,0.395,0.7,1.0,ok_ors
Desa Adimulya,-7.334996,108.689403,Balai Desa Adimulya,-7.332960915849882,108.68843248947638,0.4,0.399,0.58,1.0,ok_ors
Kelurahan Sidanegara,-7.711614,109.019484,Asrama Putri Stikes Al-Irsyad,-7.711226,109.020901,0.4,0.403,1.61,1.0,ok_ors
Desa Panikel,-7.631573,108.856721,Balai Desa Panikel,-7.632277,108.855158,0.42,0.42,0.84,1.0,ok_ors
Desa Purwasari,-7.384291,108.870808,Balai Desa Ciporos,-7.381721517,108.8713846,0.43,0.425,0.72,1.0,ok_ors
Kelurahan Sidanegara,-7.711614,109.019484,SMP Negeri 4 Cilacap,-7.713808,109.0220023,0.46,0.46,1.84,1.0,ok_ors
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten,-7.592701,108.91958,0.47,0.466,1.09,1.0,ok_ors
Desa Kawunganten,-7.591934,108.92207,Balai Desa Kawunganten,-7.592701,108.91958,0.47,0.839,1.42,2.0,ok_ors
Desa Adiraja,-7.661459,109.164716,Balai Desa Adireja Wetan,-7.663377,109.1669,0.47,0.471,0.93,1.0,ok_ors
Desa Mulyasari,-7.314002,108.773874,Balai Desa Mulyasari,-7.316016450227107,108.7710207218418,0.51,0.513,1.32,1.0,ok_ors
Desa Sidamulya,-7.48897,108.804965,Balai Desa Sudagaran,-7.4901238,108.8095576,0.53,0.526,2.1,1.0,ok_ors
Desa Sidamulya,-7.488885,108.804955,Balai Desa Sudagaran,-7.4901238,108.8095576,0.53,0.53,2.12,1.0,ok_ors
Desa Pesanggrahan,-7.594099,109.115168,Balai Desa Keleng,-7.595349,109.11045,0.56,0.558,0.71,1.0,ok_ors
Desa Cilongkrang,-7.408769,108.715668,Balai Desa Cilongkrang,-7.407004438152763,108.71434982998896,0.56,0.562,1.36,1.0,ok_ors
Kelurahan Donan,-7.714149,109.001532,SMA Negeri 1 Cilacap,-7.713985,109.005431,0.58,0.583,2.33,1.0,ok_ors
Kelurahan Donan,-7.714149,109.001532,SMA Negeri 1 Cilacap,-7.713985,109.005431,0.58,1.33,2.99,2.0,ok_ors
Kelurahan Donan,-7.714149,109.001532,SMA Negeri 1 Cilacap,-7.713985,109.005431,0.58,1.29,3.23,3.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Wetan,-7.663377,109.1669,0.61,0.614,1.39,1.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Wetan,-7.663377,109.1669,0.61,0.503,1.48,2.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Wetan,-7.663377,109.1669,0.61,0.986,1.91,3.0,ok_ors
